n1,n2,n3,d1_nm,d2_nm,d3_nm,reflectance
1.06666666666667,1.06666666666667,1.6,164,116,188,0.0414704016645399
1.8,1.33333333333333,2,56,44,68,0.0978734467395161
1.06666666666667,2,1.66666666666667,128,128,140,0.0433455796255493
1.86666666666667,1.2,1.8,164,200,68,0.196944989276094
1.33333333333333,1.06666666666667,1.2,44,80,116,0.0373757285993237
1.66666666666667,1.06666666666667,1.33333333333333,200,152,116,0.114101879110391
1.4,1.6,1.13333333333333,80,200,44,0.0717092695311977
1.13333333333333,1.53333333333333,1.4,56,116,200,0.0310014331827265
1.2,2,1.93333333333333,92,92,164,0.0243947102603233
2,1.8,1.13333333333333,116,20,200,0.0182056121765108
1.53333333333333,1.2,1.2,32,80,188,0.0095160947040746
1.53333333333333,1.86666666666667,2,20,128,128,0.0584323784694197
1,1.8,2,200,152,188,0.181896164073049
1.8,1.4,1.46666666666667,140,92,32,0.0303230219731482
1.2,1.93333333333333,1.73333333333333,44,44,56,0.106428250888559
1.06666666666667,1,1.26666666666667,128,152,20,0.0608636960519582
1.4,1.8,1.53333333333333,68,56,80,0.0412799572909482
1.2,1.26666666666667,1,116,56,92,0.0963477110280514
1,1.06666666666667,1.46666666666667,104,80,68,0.0198255516991791
1,2,1.46666666666667,44,68,176,0.207251028130332
1.6,1.06666666666667,1.26666666666667,80,152,80,0.171589882859306
1,1.26666666666667,1.73333333333333,188,104,68,0.0130873954357962
1.93333333333333,2,1.86666666666667,188,140,116,0.0757949007541193
1.13333333333333,1.6,1.2,32,68,44,0.0881480801895256
1.13333333333333,1.6,1.8,80,176,164,0.025302474854475
1.73333333333333,1.73333333333333,1.33333333333333,32,56,32,0.134306455084095
1.73333333333333,1.33333333333333,1.26666666666667,140,164,200,0.0187501454324248
2,1.6,1.06666666666667,152,80,164,0.234532125335173
1.6,2,1.93333333333333,176,44,56,0.137798070802622
1.33333333333333,1.93333333333333,1.6,92,32,20,0.0307605220916633
1.53333333333333,1.86666666666667,1.06666666666667,164,20,176,0.0953320719051138
1.4,1.4,1.26666666666667,200,68,152,0.0739689458637754
1,1,1,140,140,152,0.04
1.93333333333333,1.73333333333333,1.06666666666667,104,80,164,0.24355734752138
1.06666666666667,1.6,1.26666666666667,200,44,32,0.0218732459302761
1.8,1.26666666666667,1.26666666666667,164,152,80,0.0351992442963009
2,1.53333333333333,1.6,140,176,32,0.0502862595264211
1.2,1.06666666666667,1.26666666666667,200,164,176,0.0180278424573568
1.26666666666667,1.26666666666667,1,128,200,128,0.169218714646389
1,1.66666666666667,1.33333333333333,152,68,80,0.136451913879747
1.4,1.33333333333333,1.33333333333333,68,20,32,0.020764700053731
2,1.4,1.8,128,200,68,0.129505855327266
1.73333333333333,1.06666666666667,2,56,56,80,0.219843522660996
1.6,1.2,1.46666666666667,164,140,152,0.000131317626625188
2,1.73333333333333,1.4,56,56,140,0.128251095253424
1.06666666666667,1.06666666666667,1,44,56,188,0.0594748940542443
1.6,1.93333333333333,1.13333333333333,188,116,104,0.105340111342152
2,1.66666666666667,1.86666666666667,128,188,32,0.109746071875134
1.26666666666667,2,1.4,128,92,152,0.0828833893006142
1.6,1.53333333333333,1.13333333333333,164,44,164,0.118724926511756
1.53333333333333,1.66666666666667,2,140,200,116,0.0616816641950635
1.13333333333333,1.86666666666667,1.86666666666667,80,80,164,0.0769903939247709
1.26666666666667,1.2,1.6,92,188,104,0.0409891080502728
2,1.6,1.06666666666667,176,80,116,0.221374243999433
1.66666666666667,1.13333333333333,1.2,104,176,92,0.13060069055121
1.73333333333333,1.86666666666667,1.06666666666667,116,92,20,0.113307460842239
1.73333333333333,1.73333333333333,1.93333333333333,128,152,32,0.0256370310242499
1.73333333333333,1.73333333333333,1.73333333333333,20,116,20,0.0402132563895634
1.66666666666667,1.53333333333333,1.73333333333333,188,44,140,0.0395239883185787
1.13333333333333,1.53333333333333,1.6,104,20,80,0.0192958787188588
1.73333333333333,1.46666666666667,1.06666666666667,56,44,116,0.312074327976291
1.53333333333333,1.93333333333333,1.33333333333333,80,116,188,0.0293535552964138
1.2,1.53333333333333,1.06666666666667,176,200,56,0.020844597287934
2,1.66666666666667,1.93333333333333,20,128,92,0.196187270861838
1.73333333333333,1.46666666666667,1.73333333333333,92,32,164,0.103912038468083
1.73333333333333,1.4,1.13333333333333,128,140,56,0.111412582156469
1.8,1.93333333333333,1.26666666666667,152,56,32,0.17321729055347
1.4,1,1.86666666666667,44,140,68,0.283973852406776
1.66666666666667,1.73333333333333,1.33333333333333,68,128,44,0.0343864981031184
1.13333333333333,1.26666666666667,1,20,188,188,0.0258356515901976
1.93333333333333,1.6,1,188,188,164,0.441545992546603
1.46666666666667,1.46666666666667,1.4,44,44,140,0.0512147628186303
1.4,1.66666666666667,1.46666666666667,32,200,176,0.063547668113508
1.4,1.06666666666667,1.86666666666667,152,176,164,0.0674572827756299
1.53333333333333,2,1.13333333333333,164,200,44,0.227456826364461
1.33333333333333,1.33333333333333,1.93333333333333,104,68,188,0.0957042400589861
1.33333333333333,1.06666666666667,1.13333333333333,32,140,116,0.0178087632909003
1.26666666666667,1,1.26666666666667,152,188,164,0.0775498624025069
1,1.86666666666667,1.33333333333333,92,80,188,0.159556985063863
1.4,1.53333333333333,1.53333333333333,92,32,80,0.01299934524054
2,1.26666666666667,1.8,44,164,32,0.334775759933756
1.6,1.86666666666667,1.6,80,140,56,0.0503335674495042
1.66666666666667,1.73333333333333,1.4,80,176,92,0.121997557565725
1.2,1,1.6,92,32,176,0.00675201541614561
1.6,1.4,1.53333333333333,80,164,176,0.0790243175392504
1.8,1.6,1.46666666666667,164,32,20,0.0576443778009805
1.2,1.06666666666667,1,164,44,116,0.069624291881459
1.8,1.2,1.73333333333333,176,140,92,0.200194110253461
1.06666666666667,2,1.73333333333333,176,116,56,0.0547751866772997
2,1.4,2,140,188,32,0.122813796945382
1.33333333333333,1.8,1.86666666666667,92,92,80,0.0252851316749895
1.6,1,1.13333333333333,92,32,200,0.0797315555293532
1.06666666666667,1.26666666666667,1.86666666666667,152,44,80,0.10399272023544
2,1.13333333333333,2,164,68,116,0.139663488851178
1.8,1.66666666666667,1.53333333333333,200,56,152,0.109416041646198
1.13333333333333,1.66666666666667,1.4,32,176,80,0.0203558106439424
1.93333333333333,1.13333333333333,1.4,164,116,200,0.118170570153047
1.73333333333333,1.4,1.13333333333333,92,92,200,0.128239955014309
1.66666666666667,1.66666666666667,1.26666666666667,104,20,68,0.128768168772971
1.4,1.4,1.73333333333333,68,200,104,0.00609984573187178
1.06666666666667,1.2,1.4,20,176,68,0.0194340349597769
1.33333333333333,1.13333333333333,1.73333333333333,188,116,68,0.0712575095640218
1.4,1.4,1.06666666666667,104,128,20,0.0121854152791738
2,1,1.8,20,164,128,0.275895078140661
1.53333333333333,1.26666666666667,2,140,20,116,0.139951598512695
1.93333333333333,1.66666666666667,1.86666666666667,44,176,20,0.161528772435821
1.4,1.2,1.33333333333333,80,104,68,0.0792922035620604
1.26666666666667,1.6,1.2,116,116,188,0.0265138396318467
1.6,1.8,1.2,80,176,56,0.148285847735481
1.93333333333333,1.73333333333333,1.46666666666667,32,80,44,0.109612972493731
1.73333333333333,1.46666666666667,1.8,68,176,104,0.0370827234314551
1.93333333333333,2,1.13333333333333,80,164,200,0.0822309481216183
1,1.2,1.46666666666667,200,176,56,0.021535966337657
1.66666666666667,1.66666666666667,1,32,164,140,0.180912082255214
1.6,1,1.6,200,44,164,0.00118048578301404
1.66666666666667,1.66666666666667,1.33333333333333,176,164,56,0.0149486349308894
2,1.93333333333333,1.73333333333333,92,140,152,0.181907884893446
1.93333333333333,1.8,1.4,44,188,80,0.211533491692655
1.33333333333333,1.4,1.93333333333333,176,32,140,0.0360885671855249
1.66666666666667,1.6,1.93333333333333,44,44,140,0.0807121067230315
1,1.2,1.53333333333333,44,128,116,0.00369079215087048
1.8,1.13333333333333,1.86666666666667,32,104,32,0.123552766667215
1.53333333333333,1.86666666666667,1.33333333333333,176,80,176,0.171015473451073
2,1.4,1.93333333333333,32,44,80,0.0339224409916089
1.93333333333333,1.53333333333333,2,152,200,44,0.163329958135059
1.4,1.2,1,104,140,20,0.071143862616907
1.93333333333333,1.33333333333333,1.26666666666667,68,104,128,0.155849738118044
1.53333333333333,1.4,1.26666666666667,104,176,140,0.126619746568783
1.4,1.06666666666667,2,56,68,20,0.014888615932263
2,1.13333333333333,1.53333333333333,32,56,116,0.101694974981172
1.6,1.46666666666667,1.73333333333333,200,128,56,0.0839534675393648
1.73333333333333,1.6,1.6,44,80,140,0.0921473312611095
1.53333333333333,1.13333333333333,1.2,140,164,44,0.0131293834052738
1.13333333333333,1.86666666666667,1,188,20,152,0.12898793785439
1.06666666666667,1.86666666666667,1,20,56,92,0.346192502284199
1.13333333333333,1.93333333333333,1.8,164,200,188,0.110330479713344
1.6,1.46666666666667,1.26666666666667,56,56,44,0.114575537261588
1.13333333333333,1.93333333333333,2,68,104,80,0.128722644802858
1.33333333333333,1.53333333333333,1.8,20,176,32,0.0818427202795393
1,1.06666666666667,1.53333333333333,152,164,188,0.0225631044265199
2,1.66666666666667,1.53333333333333,128,20,188,0.045433587723334
1.4,1.26666666666667,1.53333333333333,20,44,68,0.0148868398398539
1.8,1.2,1.26666666666667,200,116,140,0.119921682429211
