epoch,layer_id,neuron_idx,mean,std,min,max
20,2_dense_layer1_weighted,0,0.1919377,0.025628097,0.16454977,0.24548504
20,2_dense_layer1_weighted,15,0.14823867,0.032039106,0.10005154,0.18949954
20,2_dense_layer1_weighted,31,0.18886983,0.05643006,0.093529545,0.26914173
20,2_dense_layer1_weighted,47,0.16408285,0.035877697,0.10929473,0.20763958
20,2_dense_layer1_weighted,63,0.19209684,0.02388254,0.15874295,0.23670219
20,5_dense_8,0,0.19263315,0.04144615,0.08333986,0.27863777
20,5_dense_8,7,0.2069671,0.04593417,0.08587822,0.29919127
20,5_dense_8,15,0.18308523,0.05255307,0.046077576,0.3150163
20,5_dense_8,23,0.19267322,0.055008296,0.05679972,0.29688525
20,5_dense_8,31,0.20147088,0.04950258,0.06702589,0.3115479
20,8_dense_9,0,0.01243405,0.06537351,-0.11753735,0.14935069
