epoch,layer_id,neuron_idx,mean,std,min,max
0,2_dense_layer1_weighted,0,0.19199218,0.025606738,0.1646579,0.24548504
0,2_dense_layer1_weighted,15,0.14828752,0.032043327,0.10005154,0.18959545
0,2_dense_layer1_weighted,31,0.18891214,0.056400463,0.093615085,0.26914173
0,2_dense_layer1_weighted,47,0.16412525,0.035839852,0.10937826,0.20763958
0,2_dense_layer1_weighted,63,0.19214283,0.023911294,0.15874295,0.23679174
0,5_dense_8,0,0.19264162,0.041445933,0.083347544,0.2786422
0,5_dense_8,7,0.2069804,0.04593384,0.085891664,0.29920146
0,5_dense_8,15,0.1830858,0.052552506,0.046079095,0.31501448
0,5_dense_8,23,0.19268303,0.05500766,0.056809947,0.2968911
0,5_dense_8,31,0.20148239,0.049502365,0.067036904,0.31156075
0,8_dense_9,0,0.19957423,0.066740684,0.06735882,0.33927077
