epoch,layer_id,neuron_idx,mean,std,min,max
10,2_dense_layer1_weighted,0,-0.027715055,0.16045848,-0.3030339,0.15611798
10,2_dense_layer1_weighted,15,0.12466677,0.17673372,-0.18986404,0.3493855
10,2_dense_layer1_weighted,31,-0.08220231,0.067817286,-0.16441588,-0.0033159838
10,2_dense_layer1_weighted,47,0.10771135,0.07765271,-0.05053639,0.18331386
10,2_dense_layer1_weighted,63,0.14105834,0.067781836,0.03152558,0.21974343
10,5_dense_8,0,-0.0210858,0.1821304,-0.38066924,0.46431315
10,5_dense_8,7,0.0039946754,0.18115833,-0.49308085,0.3719882
10,5_dense_8,15,0.019676208,0.19291793,-0.49806085,0.37567276
10,5_dense_8,23,-0.0034464095,0.20259209,-0.4538024,0.4995355
10,5_dense_8,31,0.0169596,0.19133613,-0.46503854,0.34420553
10,8_dense_9,0,-0.0049662683,0.10643189,-0.2849353,0.3235611
